Date,"Depth (m)","Temperature (C)"
"2015/10/01 00:00",-0,28.87
"2015/10/01 00:00",-0.24,28.87
"2015/10/01 00:00",-0.48,28.87
"2015/10/01 00:00",-0.72,28.87
"2015/10/01 00:00",-0.96,28.87
"2015/10/01 00:00",-1.2,28.87
"2015/10/01 00:00",-1.44,28.87
"2015/10/01 00:00",-1.68,28.87
"2015/10/01 00:00",-1.92,28.87
"2015/10/01 00:00",-2.16,28.87
"2015/10/01 00:00",-2.4,28.87
"2015/10/01 00:00",-2.64,28.87
"2015/10/01 00:00",-2.88,28.87
"2015/10/01 00:00",-3.12,28.87
"2015/10/01 00:00",-3.36,28.87
"2015/10/01 00:00",-3.6,28.87
"2015/10/01 00:00",-3.84,28.87
"2015/10/01 00:00",-4.08,28.87
"2015/10/01 00:00",-4.32,28.87
"2015/10/01 00:00",-4.56,28.87
"2015/10/01 00:00",-4.8,28.87
"2015/10/01 00:00",-5.04,28.87
"2015/10/01 00:00",-5.28,28.87
"2015/10/01 00:00",-5.52,28.87
"2015/10/01 00:00",-5.76,28.87
"2015/10/01 00:00",-6,28.87
"2015/10/01 00:00",-6.24,28.87
"2015/10/01 00:00",-6.48,28.87
"2015/10/01 00:00",-6.72,28.87
"2015/10/01 00:00",-6.96,28.87
"2015/10/01 00:00",-7.2,28.87
"2015/10/01 00:00",-7.44,28.87
"2015/10/01 00:00",-7.68,28.87
"2015/10/01 00:00",-7.92,28.87
"2015/10/01 00:00",-8.16,28.87
"2015/10/01 00:00",-8.4,28.87
"2015/10/01 00:00",-8.64,28.87
"2015/10/01 00:00",-8.88,28.87
"2015/10/01 00:00",-9.12,28.87
"2015/10/01 00:00",-9.36,28.87
"2015/10/01 00:00",-9.6,28.87
"2015/10/01 00:00",-9.84,28.87
"2015/10/01 00:00",-10.08,28.87
"2015/10/01 00:00",-10.32,28.87
"2015/10/01 00:00",-10.56,28.87
"2015/10/01 00:00",-10.8,28.87
"2015/10/01 00:00",-11.04,28.87
"2015/10/01 00:00",-11.28,28.87
"2015/10/01 00:00",-11.52,28.87
"2015/10/01 00:00",-11.76,28.87
"2015/10/01 00:00",-12,28.87
"2015/10/01 12:00",-0,28.98
"2015/10/01 12:00",-0.24,28.98
"2015/10/01 12:00",-0.48,28.98
"2015/10/01 12:00",-0.72,28.98
"2015/10/01 12:00",-0.96,28.98
"2015/10/01 12:00",-1.2,28.98
"2015/10/01 12:00",-1.44,28.98
"2015/10/01 12:00",-1.68,28.98
"2015/10/01 12:00",-1.92,28.98
"2015/10/01 12:00",-2.16,28.98
"2015/10/01 12:00",-2.4,28.98
"2015/10/01 12:00",-2.64,28.98
"2015/10/01 12:00",-2.88,28.98
"2015/10/01 12:00",-3.12,28.98
"2015/10/01 12:00",-3.36,28.98
"2015/10/01 12:00",-3.6,28.98
"2015/10/01 12:00",-3.84,28.98
"2015/10/01 12:00",-4.08,28.98
"2015/10/01 12:00",-4.32,28.98
"2015/10/01 12:00",-4.56,28.98
"2015/10/01 12:00",-4.8,28.98
"2015/10/01 12:00",-5.04,28.98
"2015/10/01 12:00",-5.28,28.98
"2015/10/01 12:00",-5.52,28.98
"2015/10/01 12:00",-5.76,28.98
"2015/10/01 12:00",-6,28.98
"2015/10/01 12:00",-6.24,28.98
"2015/10/01 12:00",-6.48,28.98
"2015/10/01 12:00",-6.72,28.98
"2015/10/01 12:00",-6.96,28.98
"2015/10/01 12:00",-7.2,28.98
"2015/10/01 12:00",-7.44,28.98
"2015/10/01 12:00",-7.68,28.98
"2015/10/01 12:00",-7.92,28.98
"2015/10/01 12:00",-8.16,28.98
"2015/10/01 12:00",-8.4,28.98
"2015/10/01 12:00",-8.64,28.98
"2015/10/01 12:00",-8.88,28.98
"2015/10/01 12:00",-9.12,28.98
"2015/10/01 12:00",-9.36,28.98
"2015/10/01 12:00",-9.6,28.98
"2015/10/01 12:00",-9.84,28.98
"2015/10/01 12:00",-10.08,28.98
"2015/10/01 12:00",-10.32,28.98
"2015/10/01 12:00",-10.56,28.98
"2015/10/01 12:00",-10.8,28.98
"2015/10/01 12:00",-11.04,28.98
"2015/10/01 12:00",-11.28,28.98
"2015/10/01 12:00",-11.52,28.98
"2015/10/01 12:00",-11.76,28.98
"2015/10/01 12:00",-12,28.74
"2015/10/02 00:00",-0,28.88
"2015/10/02 00:00",-0.24,28.88
"2015/10/02 00:00",-0.48,28.88
"2015/10/02 00:00",-0.72,28.88
"2015/10/02 00:00",-0.96,28.88
"2015/10/02 00:00",-1.2,28.88
"2015/10/02 00:00",-1.44,28.88
"2015/10/02 00:00",-1.68,28.88
"2015/10/02 00:00",-1.92,28.88
"2015/10/02 00:00",-2.16,28.88
"2015/10/02 00:00",-2.4,28.88
"2015/10/02 00:00",-2.64,28.88
"2015/10/02 00:00",-2.88,28.88
"2015/10/02 00:00",-3.12,28.88
"2015/10/02 00:00",-3.36,28.88
"2015/10/02 00:00",-3.6,28.88
"2015/10/02 00:00",-3.84,28.88
"2015/10/02 00:00",-4.08,28.88
"2015/10/02 00:00",-4.32,28.88
"2015/10/02 00:00",-4.56,28.88
"2015/10/02 00:00",-4.8,28.88
"2015/10/02 00:00",-5.04,28.88
"2015/10/02 00:00",-5.28,28.88
"2015/10/02 00:00",-5.52,28.88
"2015/10/02 00:00",-5.76,28.88
"2015/10/02 00:00",-6,28.88
"2015/10/02 00:00",-6.24,28.88
"2015/10/02 00:00",-6.48,28.88
"2015/10/02 00:00",-6.72,28.88
"2015/10/02 00:00",-6.96,28.88
"2015/10/02 00:00",-7.2,28.88
"2015/10/02 00:00",-7.44,28.88
"2015/10/02 00:00",-7.68,28.88
"2015/10/02 00:00",-7.92,28.88
"2015/10/02 00:00",-8.16,28.88
"2015/10/02 00:00",-8.4,28.88
"2015/10/02 00:00",-8.64,28.88
"2015/10/02 00:00",-8.88,28.88
"2015/10/02 00:00",-9.12,28.88
"2015/10/02 00:00",-9.36,28.88
"2015/10/02 00:00",-9.6,28.88
"2015/10/02 00:00",-9.84,28.88
"2015/10/02 00:00",-10.08,28.88
"2015/10/02 00:00",-10.32,28.88
"2015/10/02 00:00",-10.56,28.88
"2015/10/02 00:00",-10.8,28.88
"2015/10/02 00:00",-11.04,28.88
"2015/10/02 00:00",-11.28,28.88
"2015/10/02 00:00",-11.52,28.88
"2015/10/02 00:00",-11.76,28.88
"2015/10/02 00:00",-12,28.88
"2015/10/02 12:00",-0,29
"2015/10/02 12:00",-0.24,29
"2015/10/02 12:00",-0.48,29
"2015/10/02 12:00",-0.72,29
"2015/10/02 12:00",-0.96,29
"2015/10/02 12:00",-1.2,29
"2015/10/02 12:00",-1.44,29
"2015/10/02 12:00",-1.68,29
"2015/10/02 12:00",-1.92,29
"2015/10/02 12:00",-2.16,29
"2015/10/02 12:00",-2.4,29
"2015/10/02 12:00",-2.64,29
"2015/10/02 12:00",-2.88,29
"2015/10/02 12:00",-3.12,29
"2015/10/02 12:00",-3.36,29
"2015/10/02 12:00",-3.6,29
"2015/10/02 12:00",-3.84,29
"2015/10/02 12:00",-4.08,29
"2015/10/02 12:00",-4.32,29
"2015/10/02 12:00",-4.56,29
"2015/10/02 12:00",-4.8,29
"2015/10/02 12:00",-5.04,29
"2015/10/02 12:00",-5.28,29
"2015/10/02 12:00",-5.52,29
"2015/10/02 12:00",-5.76,29
"2015/10/02 12:00",-6,29
"2015/10/02 12:00",-6.24,29
"2015/10/02 12:00",-6.48,29
"2015/10/02 12:00",-6.72,29
"2015/10/02 12:00",-6.96,29
"2015/10/02 12:00",-7.2,29
"2015/10/02 12:00",-7.44,29
"2015/10/02 12:00",-7.68,29
"2015/10/02 12:00",-7.92,29
"2015/10/02 12:00",-8.16,29
"2015/10/02 12:00",-8.4,29
"2015/10/02 12:00",-8.64,29
"2015/10/02 12:00",-8.88,29
"2015/10/02 12:00",-9.12,29
"2015/10/02 12:00",-9.36,29
"2015/10/02 12:00",-9.6,29
"2015/10/02 12:00",-9.84,29
"2015/10/02 12:00",-10.08,29
"2015/10/02 12:00",-10.32,29
"2015/10/02 12:00",-10.56,29
"2015/10/02 12:00",-10.8,29
"2015/10/02 12:00",-11.04,29
"2015/10/02 12:00",-11.28,29
"2015/10/02 12:00",-11.52,29
"2015/10/02 12:00",-11.76,29
"2015/10/02 12:00",-12,28.76
"2015/10/03 00:00",-0,28.93
"2015/10/03 00:00",-0.24,28.93
"2015/10/03 00:00",-0.48,28.93
"2015/10/03 00:00",-0.72,28.93
"2015/10/03 00:00",-0.96,28.93
"2015/10/03 00:00",-1.2,28.93
"2015/10/03 00:00",-1.44,28.93
"2015/10/03 00:00",-1.68,28.93
"2015/10/03 00:00",-1.92,28.93
"2015/10/03 00:00",-2.16,28.93
"2015/10/03 00:00",-2.4,28.93
"2015/10/03 00:00",-2.64,28.93
"2015/10/03 00:00",-2.88,28.93
"2015/10/03 00:00",-3.12,28.93
"2015/10/03 00:00",-3.36,28.93
"2015/10/03 00:00",-3.6,28.93
"2015/10/03 00:00",-3.84,28.93
