Model inputs
Latitude = 25 deg
Longitude = 26 deg
Lake depth = 27 m
Lake fetch = 2000 m
Extinction coefficient = 1
Initial surface temperature = 8.815 C
Initial mixed layer thickness = 0 m
Initial mean temperature = 8.815 C
Initial bottom temperature = 8.815 C
Initial ice thickness = 0 m
Perpetual-year simulation = Yes

Results from FLAKE simulations.
Step (-),  Date (-),  Mixed-layer temperature (C),  Mean temperature of the water column (C),  Bottom temperature (C),Friction velocity in the surface air layer (m/s),  Friction velocity in the surface layer of lake water (m/s),  Convective velocity scale (m/s), Heat flux through the ice-water or air-water interface (W/m2),Sensible heat flux (W/m2),  Latent heat flux (W/m2),  Radiation flux through the ice-water or air-water interface (W/m2),Long-wave radiation flux from the atmosphere (W/m2), surface long-wave radiation flux (W/m2), Mixed-layer thickness (m),  Shape factor for thermocline (-),Thickness of the upper layer of the sediment (m),   Temperature at the bottom of the upper layer of the sediment (C),Heat flux through the water-bottom sediment interface (W /m2),  Ice thickness (m),  Snow thickness (m),Ice temperature (C), Snow temperature (C)
0,2015-10-01 00:00,24.7417,21.9749,19.0211,0.134025,0.455623E-02,0.128244E-01,-329.465,-1.39190,-208.638,39.7575,322.595,-442.030,8.81952,0.718282,3.00000,4.00000,5.46767,0.00000,0.00000,0.00000,0.00000
1,2015-10-01 06:00,24.5464,21.9187,19.0251,0.00000,0.867923E-04,0.00000,-84.4651,0.966204E-01,-0.444179,681.922,356.754,-440.872,9.11044,0.718282,3.00000,4.00000,5.46912,0.00000,0.00000,0.00000,0.00000
2,2015-10-01 12:00,24.7994,22.0314,19.0251,0.159541,0.542300E-02,0.103751E-01,-326.259,11.3109,-225.873,220.410,330.677,-442.373,8.98106,0.718282,3.00000,4.00000,5.46912,0.00000,0.00000,0.00000,0.00000
3,2015-10-01 18:00,24.7242,22.0102,19.0266,0.152303,0.517774E-02,0.137565E-01,-357.845,-14.2017,-216.482,0.00000,314.765,-441.926,9.09474,0.718282,3.00000,4.00000,5.46967,0.00000,0.00000,0.00000,0.00000
4,2015-10-02 00:00,24.4919,21.9410,19.0313,0.167451,0.569543E-02,0.130352E-01,-328.338,-0.542369,-209.417,40.2225,322.171,-440.549,9.44037,0.718282,3.00000,4.00000,5.47140,0.00000,0.00000,0.00000,0.00000
5,2015-10-02 06:00,24.3102,21.8851,19.0350,0.00000,0.101272E-03,0.00000,-79.6447,0.109015,-0.434956,683.317,360.156,-439.474,9.71944,0.718282,3.00000,4.00000,5.47275,0.00000,0.00000,0.00000,0.00000
6,2015-10-02 12:00,24.5673,21.9990,19.0350,0.169348,0.575905E-02,0.105490E-01,-329.299,12.9591,-231.542,220.642,330.279,-440.996,9.54975,0.718282,3.00000,4.00000,5.47275,0.00000,0.00000,0.00000,0.00000
7,2015-10-02 18:00,24.4950,21.9773,19.0365,0.125890,0.428181E-02,0.131730E-01,-299.074,-10.2691,-163.236,0.00000,314.999,-440.568,9.66194,0.718282,3.00000,4.00000,5.47328,0.00000,0.00000,0.00000,0.00000
8,2015-10-03 00:00,24.3115,21.9193,19.0402,0.198541,0.675534E-02,0.134721E-01,-345.495,2.87848,-232.050,39.7575,323.159,-439.482,9.94103,0.718282,3.00000,4.00000,5.47464,0.00000,0.00000,0.00000,0.00000
9,2015-10-03 06:00,24.1285,21.8600,19.0440,0.00000,0.104210E-03,0.00000,-71.8844,0.129416,-0.428173,683.550,366.816,-438.402,10.2291,0.718282,3.00000,4.00000,5.47600,0.00000,0.00000,0.00000,0.00000
10,2015-10-03 12:00,24.3881,21.9755,19.0440,0.170633,0.580488E-02,0.105824E-01,-324.382,13.9900,-228.474,217.620,330.037,-439.935,10.0301,0.718282,3.00000,4.00000,5.47600,0.00000,0.00000,0.00000,0.00000
11,2015-10-03 18:00,24.3207,21.9541,19.0453,0.146669,0.499031E-02,0.136899E-01,-322.690,-12.7633,-184.063,0.00000,313.673,-439.536,10.1370,0.718282,3.00000,4.00000,5.47649,0.00000,0.00000,0.00000,0.00000
12,2015-10-04 00:00,24.1320,21.8916,19.0492,0.241032,0.820409E-02,0.133364E-01,-324.578,-17.1138,-182.341,39.5250,313.299,-438.422,10.4313,0.718282,3.00000,4.00000,5.47789,0.00000,0.00000,0.00000,0.00000
13,2015-10-04 06:00,23.9692,21.8363,19.0525,0.306241,0.104271E-01,0.00000,-298.769,84.9751,-302.568,677.505,356.287,-437.462,10.6933,0.718282,3.00000,4.00000,5.47910,0.00000,0.00000,0.00000,0.00000
14,2015-10-04 12:00,24.4803,21.9074,19.0525,0.187875,0.639026E-02,0.116447E-01,-388.617,-1.27948,-268.616,218.550,321.759,-440.480,9.17664,0.718084,3.00000,4.00000,5.47910,0.00000,0.00000,0.00000,0.00000
15,2015-10-04 18:00,24.3654,21.8739,19.0555,0.129362,0.440106E-02,0.135082E-01,-334.914,-21.3863,-180.671,0.00000,306.944,-439.801,9.36260,0.718282,3.00000,4.00000,5.48019,0.00000,0.00000,0.00000,0.00000
16,2015-10-05 00:00,24.1540,21.8091,19.0598,0.118133,0.402074E-02,0.126516E-01,-299.822,-11.5840,-161.779,39.5250,312.092,-438.552,9.69725,0.718282,3.00000,4.00000,5.48177,0.00000,0.00000,0.00000,0.00000
17,2015-10-05 06:00,23.9939,21.7585,19.0631,0.278094,0.946824E-02,0.00000,-355.665,72.2025,-342.278,681.922,352.019,-437.608,9.95823,0.718282,3.00000,4.00000,5.48295,0.00000,0.00000,0.00000,0.00000
18,2015-10-05 12:00,24.4682,21.8196,19.0631,0.167124,0.568458E-02,0.111294E-01,-369.312,-3.13328,-246.353,216.225,320.584,-440.409,8.57621,0.718130,3.00000,4.00000,5.48295,0.00000,0.00000,0.00000,0.00000
19,2015-10-05 18:00,24.3568,21.7894,19.0658,0.488378E-01,0.166155E-02,0.118996E-01,-244.817,-14.2050,-93.5892,0.00000,302.727,-439.750,8.75955,0.718282,3.00000,4.00000,5.48396,0.00000,0.00000,0.00000,0.00000
